,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
14698,356520020,1,MN,109,MANHATTAN COMMUNITY DISTRICT 9,1867,1,ST. LUKE'S DIVISION PSYCHIATRIC INPATIENT SERVICE,1111 Amsterdam Ave,10025,3511,Hospital-Based Inpatient Care - Mental Health,Hospital Based Inpatient Care - Mental Health,Inp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4e,Mental Health Facilities - Inpatient,4.00E+09,Hospital-Based Inpatient Care,61,Mental Health Services - Residential,61,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,201.01,20101,7,3,26,1800,1018670001,994914,232816,R,40.805509,-73.962008,1,range_interpolation,1111,Amsterdam Ave,New York,NY,New York County,10025
16193,3764510447,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,39,7501,"AABR, INC.",130 Water St,10005,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,6,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,7,7,1,2,1,7700,1000397501,982241,196409,R,40.70563733,-74.00702182,1,rooftop,130,Water St,New York,NY,New York County,10005
14134,3.32E+11,4,QN,401,QUEENS COMMUNITY DISTRICT 1,509,25,REALITY HOUSE VETERANS CR,8-13 Astoria Blvd,11102,3313,Community Residential Service - Chemical Dependency,Community Residential Svc - Chem Depndncy,Res Chemical Depndncy Svc,5,CHEMICAL DEPENDENCY SERVICES,4,Hospitals & Health Service Facilities,4c,Addiction Service Facilities - Inpatient,4c09,Community Residential Service,51,Chemical Dependency Services - Residential,30,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,55,NYS Office of Alcoholism & Substance Abuse Services ,NYS OASAS,83,83,22,30,114,300,4005090025,1003115,220804,R,40.7725265,-73.9320925,1,range_interpolation,8-013,Astoria Blvd,Astoria,NY,Queens County,11102
16766,3861240967,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,42,31,"UCP OF NEW YORK CITY, INC.",80 Maiden Lane,10038,3810,Supported Work/Employment Training - Developmental Disability,Supported Work/Employment Training - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h06,Supported Work/Employment Training,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,7,7,1,2,1,7700,1000420031,982087,196887,L,40.70710201,-74.00747405,1,rooftop,80,Maiden Ln,New York,NY,New York County,10005
19065,4100DC12142,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,1987,59,JEWISH FOUNDATION SCHOOL PRE-SCHOOL,835 Forest Hill Rd,10314,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,273.02,27302,50,31,121,100,5019870059,945370,158834,L,40.602143,-74.140346,1,range_interpolation,835,Forest Hill Rd,Staten Island,NY,Richmond County,10314
6567,15000X088,2,BX,209,BRONX COMMUNITY DISTRICT 9,3481,1,PUGSLEY CREEK PARK,"Randall Ave., Lacombe Ave., Soundview Ave. bet. White Plains Rd. and Olmstead Ave.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,83.615,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,83.615,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2034810001,1025269,235893,L,40.818618,-73.851079,1,intersection,,Olmstead Ave,Bronx,NY,Bronx County,10473
6316,15000Q482,4,QN,412,QUEENS COMMUNITY DISTRICT 12,10099,36,PROSPECT CEMETERY,Beaver Rd. bet. 158 St. and 159 St.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,3.504,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,3.504,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4100990036,1039784,194879,L,40.704951,-74.011549,1,street_center,,Beaver St,New York,NY,New York County,10004
6497,15000Q461,4,QN,407,QUEENS COMMUNITY DISTRICT 7,3961,1,POWELL'S COVE PARK,"11 Ave. bet. 130 St., Powell's Cove Blvd. and 138 Pl., 9 Ave.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,55.023,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,55.023,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4039610001,1029487,227507,L,40.7225355,-73.98608788,1,range_interpolation,11,Ave A,New York,NY,New York County,10009
2709,1.20E+13,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,554,35,ST JOHN'S UNIVERSITY - MANHATTAN CAMPUS,101 Astor Pl,10003,1203,Independent - Post Secondary Degree Granting Institution,Independent - Degree Granting Institution,Independent College,1,SCHOOLS,1,Educational Facilities,1d,Colleges and Other Post-Secondary Institutions,1d03,Independent - Post Secondary Degree Granting Institution,13,Colleges and Other Post-Secondary Institutions,NA,96,Included in Main Campus Total,See Main Campus,NA,NA,NA,91,Not For Profit,NFP,50,NYS Education Department / Board of Regents ,NYSED,42,42,2,1,9,6200,1005540035,986975,205260,R,40.730079,-73.992841,0.9,street_center,,Astor Pl,New York,NY,New York County,10003
18146,4100DC610,3,BK,308,BROOKLYN COMMUNITY DISTRICT 8,1213,5,"REACH FOR THE STARS ACADEMY,INC.",1200 Dean St,11216,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,20,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,315,315,36,17,77,2900,3012130005,998239,185773,L,40.67686168,-73.94962032,1,range_interpolation,1200,Dean St,Brooklyn,NY,Kings County,11216
2768,1.40E+13,3,BK,301,BROOKLYN COMMUNITY DISTRICT 1,2621,32,GREENPOINT LIBRARY,107 Norman Ave,11222,1401,Public Library - Branch,Public Library - Branch,Public Library - Branch,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2a,Libraries,2a01,Public Library - Branch,21,Libraries and Cultural Institutions,236430,3,Book Circulation for the NY/BK/QN Borough Library,Annual Circ.,NA,NA,NA,5,Brooklyn Public Library ,BPL,5,Brooklyn Public Library ,BPL,573,573,33,14,94,200,3026210032,997916,203792,L,40.72595941,-73.95075671,1,rooftop,107,Norman Ave,Brooklyn,NY,Kings County,11222
15100,367296002NL,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1201,63,TOP OPPORTUNITIES,577 Columbus Ave,10024,3622,Sheltered Workshop/Vocational Service - Mental Health,Workshop/Vocational Svc - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f13,Sheltered Workshop/Vocational Service,62,Mental Health Services - Non-Residential,11,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,173,173,6,3,24,3220,1012010063,992241,226189,L,40.78758967,-73.97113994,1,rooftop,577,Columbus Ave,New York,NY,New York County,10024
13503,327001002H9659,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,4717,1,BROOKDALE URGENT CARE CENTER,1235 Linden Blvd,11212,3203,Hospital Extension Clinic,Hospital Extension Clinic,Hospital Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a05,Hospital Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,890,890,42,18,67,5810,3047170001,1008310,177742,L,40.65441355,-73.91356324,1,rooftop,1235,Linden Blvd,Brooklyn,NY,Kings County,11212
929,1.03E+13,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1616,1,SCHOOL-BUSINESS FINANCE & ENTREPRENE,125 Stuyvesant Ave,11221,1002,Middle School - Public,Intermediate/JHS - Public,Intermediate/JHS - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a02,Public Middle School,11,Public Elementary and Secondary Schools,113,1,Day Care or Head Start Center Capacity,Children,NA,113,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,291,291,36,16,81,2100,3016160001,1003036,191204,L,40.69117936,-73.9335137,1,rooftop,125,Stuyvesant Ave,Brooklyn,NY,Kings County,11221
7569,15000R046,5,SI,595,STATEN ISLAND GATEWAY NATIONAL RECREATIONAL AREA,3879,2,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,"Ft. Wadsworth To Miller Field, Fr Capodanno Blvd.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,644.35,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,644.35,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5038790002,960159,146207,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
7696,15000R016,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,4160,44,GREAT KILLS PARK,"Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,315.094,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,315.094,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5041600044,952751,142160,R,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
10520,15000XZ105,2,BX,204,BRONX COMMUNITY DISTRICT 4,NA,NA,GREENSTREET,E 166 St and Grand Concourse,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.002,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.002,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1006390,242407,L,40.831949,-73.919856,1,intersection,,E 166th St,Bronx,NY,Bronx County,10456
16750,3870060960,3,BK,302,BROOKLYN COMMUNITY DISTRICT 2,140,7502,HEARTSHARE HUMAN SERVICES OF NEW YORK,12 Metrotech Center,11201,3810,Supported Work/Employment Training - Developmental Disability,Supported Work/Employment Training - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h06,Supported Work/Employment Training,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,11.11,1111,33,13,84,2300,3001407502,987662,192340,L,40.69312085,-73.98716651,1,range_interpolation,12,Metrotech Ctr,Brooklyn,NY,Kings County,11201
16639,3865930913,4,QN,407,QUEENS COMMUNITY DISTRICT 7,5024,33,"SHIELD INSTITUTE, INC.",14461 Roosevelt Ave,11354,3805,Day Habilitation - Developmental Disability,Day Habilitation - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h04,Day Habilitation,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,863,863,20,25,109,1310,4050240033,1034111,217164,L,40.75957,-73.83014,0.9,street_center,,Roosevelt Ave,Flushing,NY,Queens County,11354
11565,15000RZ222,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,NA,NA,GREENSTREET,1000 South Ave To Fahy Rd (3),NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.128,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.128,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,936364,163807,L,40.780751,-73.977182,0.33,place,,,New York,NY,New York County,10292
460,1.03E+13,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,2016,100,PS 200 JAMES MCCUNE SMITH SCH (THE),2589 7 Ave,10039,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,494,1,Day Care or Head Start Center Capacity,Children,NA,494,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,236,236,9,5,32,800,1020160100,1002051,239471,L,40.826736,-73.939398,0.33,place,,,New York,NY,New York County,10039
2767,1.40E+13,3,BK,308,BROOKLYN COMMUNITY DISTRICT 8,1220,63,BROWER PARK LIBRARY,725 St. Marks Ave,11216,1401,Public Library - Branch,Public Library - Branch,Public Library - Branch,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2a,Libraries,2a01,Public Library - Branch,21,Libraries and Cultural Institutions,61050,3,Book Circulation for the NY/BK/QN Borough Library,Annual Circ.,NA,NA,NA,5,Brooklyn Public Library ,BPL,5,Brooklyn Public Library ,BPL,315,315,36,17,77,2900,3012200063,998510,185352,L,40.680474,-73.946829,0.67,place,,,Brooklyn,NY,Kings County,11216
17077,4100DC14357,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1654,11,"UNION SETTLEMENT ASSOCIATION, INC.",237 E 104 St,10029,4101,Group Day Care - Public,Group Day Care - Public,Group Day Care - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b01,Group Day Care - Public,82,Daycare and Headstart Facilities,90,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,170,170,8,4,23,2600,1016540011,999770,227031,L,40.78984749,-73.94392577,1,rooftop,237,E 104th St,New York,NY,New York County,10029
17241,4100DC25932,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15529,48,BEE ABOVE INC.,12-79 Redfern Ave,11691,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,95,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,1032.02,103202,31,27,101,3800,4155290048,1053524,161443,L,40.60956952,-73.75068232,1,rooftop,12-079,Redfern Ave,Far Rockaway,NY,Queens County,11691
11850,1.50E+12,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7313,32,CLAY PIT PONDS STATE PARK PRESERVE,"West Shore Exwy, Arthur Kill Rd, Englewood Ave, Chemical Ln",NA,1531,New York State Park,New York State Park,New York State Park,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c07,New York State Park,22,Parklands,262,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,262,NA,NA,52,"NYS Office of Parks, Recreation and Historic Preservation ",NYS OPRHP,52,"NYS Office of Parks, Recreation and Historic Preservation ",NYS OPRHP,NA,NA,NA,NA,NA,NA,5073130032,919634,135934,R,40.723631,-74.011507,1,street_center,,12th Ave,New York,NY,New York County,10013
8436,15000R098,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,6328,151,PARK,"Drumgoole Rd. E., from Huguenot Ave. to Ida Ct.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,5.848,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,5.848,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5063280151,931383,134483,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
1474,1.03E+13,1,MN,105,MANHATTAN COMMUNITY DISTRICT 5,805,71,SATELLITE ACADEMY HIGH SCHOOL,120 W 30 St,10001,1005,High School - Public,High School - Public,High School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a05,Public High School,11,Public Elementary and Secondary Schools,255,1,Day Care or Head Start Center Capacity,Children,NA,0,255,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,95,95,3,2,14,5200,1008050071,986864,211582,R,40.74752997,-73.99049028,1,rooftop,120,W 30th St,New York,NY,New York County,10001
14181,3.48E+11,4,QN,412,QUEENS COMMUNITY DISTRICT 12,9998,89,ST. VINCENT'S QUEENS OTP 3,147-18 Archer Ave,11435,3408,Outpatient Methadone Maintenance/Treatment Service - Chemical Dependency,Outp Methadone Maint/Trtmnt Svc - Chem Depndncy,Outp Chemical  Depndncy Svc,5,CHEMICAL DEPENDENCY SERVICES,4,Hospitals & Health Service Facilities,4d,Addiction Service Facilities - Outpatient,4d05,Outpatient Methadone Maintenance/Treatment Service,52,Chemical Dependency Services - Non-Residential,800,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,55,NYS Office of Alcoholism & Substance Abuse Services ,NYS OASAS,208,208,27,28,103,3300,4099980089,1037804,194561,L,40.70066102,-73.8069123,1,rooftop,147-018,Archer Ave,Jamaica,NY,Queens County,11435
3655,15000X002,2,BX,227,BRONX PARK,4333,10,BRONX PARK,"Burke Ave., E. 180 St. bet. Dr. Kazamiroff Blvd., Southern Blvd. and Bronx Park E., Unionp",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,718.373,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,718.373,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2043330010,1020376,248088,R,40.871818,-73.861364,0.81,intersection,,Bronxwood Ave,Bronx,NY,Bronx County,10469
